date,open,high,low,close,volume
2024-01-02,92.0,93.6,90.6,92.8,18900000
2024-01-03,92.92,93.96,91.53,93.05,19136845
2024-01-04,93.28,94.32,91.91,93.29,19365429
2024-01-05,93.63,94.77,92.18,93.53,19582882
2024-01-08,93.96,95.19,92.45,93.75,19786437
2024-01-09,94.26,95.58,92.71,93.97,19973465
2024-01-10,94.53,95.92,92.98,94.17,20141510
2024-01-11,94.76,96.2,93.23,94.35,20288316
2024-01-12,94.95,96.43,93.47,94.52,20411859
2024-01-15,95.11,96.61,93.7,94.67,20510374
2024-01-16,95.22,96.72,93.92,94.8,20582376
2024-01-17,95.29,96.77,94.11,94.92,20626680
2024-01-18,95.32,96.76,94.12,95.01,20642418
2024-01-19,95.32,96.69,94.11,95.08,20629053
2024-01-22,95.28,96.58,94.07,95.12,20586385
2024-01-23,95.21,96.43,94.03,95.15,20514557
2024-01-24,95.12,96.28,93.92,95.16,20414057
2024-01-25,95.01,96.17,93.76,95.15,20285711
2024-01-26,94.89,96.02,93.58,95.13,20130678
2024-01-29,94.76,95.9,93.41,95.08,19950437
2024-01-30,94.63,95.96,93.25,95.03,19746771
2024-01-31,94.5,96.0,93.11,94.96,19521749
2024-02-01,94.39,96.03,92.99,94.88,19277701
2024-02-02,94.28,96.04,92.89,94.79,19017196
2024-02-05,94.19,96.03,92.82,94.7,18743006
2024-02-06,94.12,96.0,92.78,94.6,18458083
2024-02-07,94.07,95.95,92.77,94.5,18165517
2024-02-08,94.04,95.89,92.79,94.41,17868505
2024-02-09,94.03,95.82,92.84,94.32,17570314
2024-02-12,94.04,95.73,92.92,94.23,17274242
2024-02-13,94.07,95.63,93.02,94.16,16983579
2024-02-14,94.11,95.54,93.13,94.1,16701570
2024-02-15,94.17,95.54,93.16,94.05,16431375
2024-02-16,94.23,95.53,93.21,94.01,16176034
2024-02-19,94.31,95.51,93.11,93.99,15938430
2024-02-20,94.39,95.49,93.02,93.99,15721256
2024-02-21,94.47,95.46,92.96,94.01,15526983
2024-02-22,94.55,95.43,92.92,94.05,15357828
2024-02-23,94.63,95.46,92.91,94.11,15215732
2024-02-26,94.71,95.66,92.93,94.19,15102335
2024-02-27,94.78,95.84,92.98,94.29,15018956
2024-02-28,94.85,96.02,93.06,94.4,14966577
2024-02-29,94.92,96.18,93.17,94.54,14945833
2024-03-01,94.98,96.32,93.31,94.7,14957002
2024-03-04,95.05,96.46,93.47,94.87,15000003
2024-03-05,95.12,96.58,93.67,95.06,15074396
2024-03-06,95.2,96.75,93.82,95.26,15179386
2024-03-07,95.28,96.98,93.93,95.48,15313835
2024-03-08,95.38,97.2,94.07,95.7,15476273
2024-03-11,95.48,97.4,94.23,95.94,15664912
2024-03-12,95.61,97.6,94.42,96.18,15877674
2024-03-13,95.76,97.78,94.63,96.42,16112209
2024-03-14,95.92,97.94,94.87,96.66,16365926
2024-03-15,96.11,98.09,95.14,96.9,16636019
2024-03-18,96.31,98.23,95.43,97.14,16919506
2024-03-19,96.54,98.35,95.74,97.37,17213257
2024-03-20,96.79,98.46,95.9,97.6,17514035
2024-03-21,97.05,98.67,96.08,97.81,17818531
2024-03-22,97.32,98.98,96.27,98.02,18123406
2024-03-25,97.6,99.29,96.47,98.21,18425325
2024-03-26,97.89,99.57,96.69,98.39,18720999
2024-03-27,98.17,99.82,96.92,98.55,19007221
2024-03-28,98.45,100.05,97.14,98.69,19280905
2024-03-29,98.71,100.24,97.37,98.82,19539120
2024-04-01,98.96,100.43,97.56,98.94,19779124
2024-04-02,99.19,100.68,97.64,99.04,19998393
2024-04-03,99.39,100.89,97.72,99.12,20194655
2024-04-04,99.56,101.05,97.79,99.18,20365910
2024-04-05,99.7,101.16,97.86,99.24,20510455
2024-04-08,99.8,101.21,97.93,99.27,20626900
2024-04-09,99.87,101.22,98.0,99.3,20714188
2024-04-10,99.9,101.17,98.07,99.32,20771598
2024-04-11,99.9,101.07,98.14,99.33,20798761
2024-04-12,99.86,100.94,98.21,99.33,20795654
2024-04-15,99.8,100.76,98.28,99.33,20762605
2024-04-16,99.72,100.56,98.36,99.32,20700281
2024-04-17,99.61,100.48,98.44,99.32,20609686
2024-04-18,99.5,100.48,98.51,99.32,20492139
2024-04-19,99.38,100.47,98.43,99.32,20349263
2024-04-22,99.26,100.52,98.29,99.33,20182961
2024-04-23,99.15,100.63,98.1,99.34,19995390
2024-04-24,99.06,100.73,97.93,99.37,19788939
2024-04-25,98.99,100.83,97.79,99.41,19566194
2024-04-26,98.94,100.93,97.68,99.46,19329909
2024-04-29,98.93,101.02,97.62,99.53,19082968
2024-04-30,98.95,101.11,97.6,99.61,18828357
2024-05-01,99.01,101.19,97.63,99.71,18569119
2024-05-02,99.11,101.28,97.72,99.82,18308323
2024-05-03,99.25,101.36,97.85,99.96,18049025
2024-05-06,99.44,101.45,98.04,100.11,17794230
2024-05-07,99.66,101.53,98.28,100.28,17546858
2024-05-08,99.92,101.62,98.57,100.46,17309709
2024-05-09,100.2,101.72,98.9,100.66,17085428
2024-05-10,100.52,101.82,99.26,100.88,16876478
2024-05-13,100.85,101.94,99.66,101.11,16685105
2024-05-14,101.2,102.24,100.08,101.35,16513321
2024-05-15,101.56,102.6,100.51,101.6,16362874
2024-05-16,101.91,103.02,100.89,101.86,16235230
2024-05-17,102.27,103.48,101.24,102.12,16131560
2024-05-20,102.61,103.91,101.59,102.39,16052726
2024-05-21,102.94,104.31,101.77,102.66,15999274
2024-05-22,103.24,104.67,101.95,102.92,15971426
2024-05-23,103.52,105.0,102.13,103.19,15969085
2024-05-24,103.78,105.27,102.32,103.44,15991837
2024-05-27,104.0,105.5,102.5,103.69,16038957
2024-05-28,104.2,105.68,102.68,103.93,16109422
2024-05-29,104.36,105.81,102.85,104.16,16201926
2024-05-30,104.49,105.89,103.02,104.37,16314899
2024-05-31,104.6,105.92,103.19,104.56,16446529
2024-06-03,104.68,105.98,103.28,104.74,16594785
2024-06-04,104.73,106.04,103.33,104.9,16757449
2024-06-05,104.77,106.07,103.38,105.03,16932139
2024-06-06,104.8,106.08,103.42,105.15,17116347
2024-06-07,104.81,106.06,103.46,105.25,17307467
2024-06-10,104.81,106.23,103.51,105.32,17502833
2024-06-11,104.81,106.39,103.56,105.38,17699751
2024-06-12,104.81,106.53,103.62,105.41,17895535
2024-06-13,104.82,106.64,103.69,105.42,18087543
2024-06-14,104.82,106.73,103.78,105.41,18273208
2024-06-17,104.83,106.77,103.87,105.39,18450072
2024-06-18,104.85,106.79,103.97,105.35,18615819
2024-06-19,104.87,106.78,104.07,105.3,18768304
2024-06-20,104.9,106.73,104.01,105.23,18905575
2024-06-21,104.93,106.65,103.95,105.16,19025905
2024-06-24,104.96,106.55,103.91,105.07,19127811
2024-06-25,104.99,106.43,103.86,104.98,19210067
2024-06-26,105.02,106.41,103.7,104.89,19271727
2024-06-27,105.05,106.36,103.54,104.8,19312132
2024-06-28,105.07,106.3,103.4,104.71,19330917
2024-07-01,105.08,106.21,103.28,104.62,19328016
2024-07-02,105.08,106.1,103.17,104.55,19303662
2024-07-03,105.07,105.98,103.08,104.48,19258383
2024-07-04,105.05,105.85,103.02,104.42,19192993
2024-07-05,105.01,105.94,102.98,104.37,19108581
2024-07-08,104.97,106.0,102.97,104.34,19006498
2024-07-09,104.92,106.06,102.98,104.33,18888333
2024-07-10,104.85,106.09,103.03,104.33,18755899
2024-07-11,104.79,106.11,103.1,104.35,18611202
2024-07-12,104.73,106.12,103.2,104.39,18456417
2024-07-15,104.67,106.11,103.33,104.45,18293860
2024-07-16,104.61,106.1,103.49,104.53,18125953
2024-07-17,104.58,106.13,103.61,104.63,17955196
2024-07-18,104.56,106.24,103.67,104.75,17784132
2024-07-19,104.56,106.36,103.75,104.88,17615312
2024-07-22,104.58,106.47,103.69,105.04,17451262
2024-07-23,104.64,106.58,103.66,105.2,17294448
2024-07-24,104.73,106.69,103.67,105.39,17147247
2024-07-25,104.85,106.8,103.72,105.58,17011909
2024-07-26,105.0,106.9,103.8,105.79,16890531
2024-07-29,105.19,107.01,103.93,106.0,16785027
2024-07-30,105.41,107.11,104.1,106.22,16697103
2024-07-31,105.66,107.27,104.31,106.45,16628232
2024-08-01,105.94,107.61,104.56,106.67,16579634
2024-08-02,106.23,107.95,104.84,106.9,16552261
2024-08-05,106.55,108.28,105.15,107.12,16546779
2024-08-06,106.88,108.59,105.49,107.34,16563563
2024-08-07,107.21,108.88,105.84,107.55,16602684
2024-08-08,107.54,109.16,106.2,107.75,16663913
2024-08-09,107.86,109.4,106.56,107.95,16746718
2024-08-12,108.17,109.66,106.88,108.13,16850273
2024-08-13,108.46,109.96,107.11,108.3,16973461
2024-08-14,108.72,110.21,107.33,108.45,17114895
2024-08-15,108.95,110.42,107.54,108.59,17272926
2024-08-16,109.14,110.57,107.75,108.71,17445670
2024-08-19,109.3,110.66,107.94,108.82,17631024
2024-08-20,109.42,110.71,108.1,108.91,17826699
2024-08-21,109.49,110.69,108.09,108.98,18030243
2024-08-22,109.53,110.63,108.07,109.04,18239071
2024-08-23,109.53,110.52,108.03,109.09,18450504
2024-08-26,109.5,110.37,107.99,109.12,18661794
2024-08-27,109.44,110.28,107.94,109.14,18870164
2024-08-28,109.35,110.31,107.89,109.15,19072843
2024-08-29,109.24,110.31,107.84,109.15,19267098
2024-08-30,109.12,110.32,107.78,109.15,19450275
2024-09-02,109.0,110.4,107.62,109.14,19619826
2024-09-03,108.88,110.47,107.48,109.12,19773348
2024-09-04,108.76,110.52,107.36,109.11,19908613
2024-09-05,108.66,110.56,107.27,109.1,20023594
2024-09-06,108.58,110.58,107.21,109.09,20116497
2024-09-09,108.52,110.59,107.18,109.09,20185784
