date,open,high,low,close,volume
2024-01-02,48.0,49.6,46.6,48.8,44100000
2024-01-03,48.92,50.04,47.53,49.13,44652638
2024-01-04,49.36,50.48,47.99,49.45,45186001
2024-01-05,49.79,50.93,48.42,49.77,45693391
2024-01-08,50.2,51.43,48.77,50.07,46168353
2024-01-09,50.58,51.9,49.11,50.37,46604753
2024-01-10,50.93,52.32,49.46,50.65,46996857
2024-01-11,51.24,52.68,49.79,50.91,47339404
2024-01-12,51.51,52.99,50.11,51.16,47627672
2024-01-15,51.75,53.25,50.42,51.39,47857541
2024-01-16,51.94,53.44,50.72,51.6,48025545
2024-01-17,52.09,53.57,50.99,51.8,48128920
2024-01-18,52.2,53.64,51.08,51.97,48165642
2024-01-19,52.28,53.65,51.15,52.12,48134457
2024-01-22,52.32,53.62,51.19,52.24,48034898
2024-01-23,52.33,53.57,51.2,52.35,47867301
2024-01-24,52.32,53.56,51.12,52.44,47632801
2024-01-25,52.29,53.53,51.04,52.51,47333327
2024-01-26,52.25,53.46,50.94,52.57,46971584
2024-01-29,52.2,53.42,50.85,52.6,46551021
2024-01-30,52.15,53.56,50.77,52.63,46075800
2024-01-31,52.1,53.68,50.71,52.64,45550748
2024-02-01,52.07,53.79,50.67,52.64,44981304
2024-02-02,52.04,53.88,50.65,52.63,44373458
2024-02-05,52.03,53.95,50.66,52.62,43733682
2024-02-06,52.04,54.0,50.7,52.6,43068861
2024-02-07,52.07,54.03,50.77,52.58,42386206
2024-02-08,52.12,54.05,50.87,52.57,41693179
2024-02-09,52.19,54.06,51.0,52.56,40997401
2024-02-12,52.28,54.05,51.16,52.55,40306566
2024-02-13,52.39,54.03,51.34,52.56,39628353
2024-02-14,52.51,54.01,51.54,52.58,38970331
2024-02-15,52.65,54.02,51.72,52.61,38339875
2024-02-16,52.79,54.09,51.85,52.65,37744080
2024-02-19,52.95,54.15,51.83,52.71,37189671
2024-02-20,53.11,54.21,51.82,52.79,36682932
2024-02-21,53.27,54.26,51.84,52.89,36229627
2024-02-22,53.43,54.31,51.88,53.01,35834932
2024-02-23,53.59,54.42,51.95,53.15,35503375
2024-02-26,53.75,54.7,52.05,53.31,35238782
2024-02-27,53.9,54.96,52.18,53.49,35044231
2024-02-28,54.05,55.22,52.34,53.68,34922014
2024-02-29,54.2,55.46,52.53,53.9,34873611
2024-03-01,54.34,55.68,52.75,54.14,34899672
2024-03-04,54.49,55.9,52.99,54.39,35000008
2024-03-05,54.64,56.12,53.25,54.66,35173591
2024-03-06,54.8,56.43,53.42,54.94,35418569
2024-03-07,54.96,56.74,53.61,55.24,35732283
2024-03-08,55.14,57.04,53.83,55.54,36111303
2024-03-11,55.32,57.32,54.07,55.86,36551462
2024-03-12,55.53,57.6,54.34,56.18,37047907
2024-03-13,55.76,57.86,54.63,56.5,37595156
2024-03-14,56.0,58.1,54.95,56.82,38187161
2024-03-15,56.27,58.33,55.3,57.14,38817379
2024-03-18,56.55,58.55,55.67,57.46,39478848
2024-03-19,56.86,58.75,56.06,57.77,40164267
2024-03-20,57.19,58.94,56.3,58.08,40866082
2024-03-21,57.53,59.23,56.56,58.37,41576574
2024-03-22,57.88,59.62,56.83,58.66,42287949
2024-03-25,58.24,60.01,57.11,58.93,42992427
2024-03-26,58.61,60.37,57.41,59.19,43682332
2024-03-27,58.97,60.7,57.72,59.43,44350184
2024-03-28,59.33,61.01,58.02,59.65,44988780
2024-03-29,59.67,61.28,58.33,59.86,45591281
2024-04-01,60.0,61.52,58.63,60.06,46151289
2024-04-02,60.31,61.8,58.84,60.24,46662918
2024-04-03,60.59,62.09,59.0,60.4,47120863
2024-04-04,60.84,62.33,59.15,60.54,47520458
2024-04-05,61.06,62.52,59.3,60.68,47857729
2024-04-08,61.24,62.65,59.45,60.79,48129435
2024-04-09,61.39,62.74,59.6,60.9,48333105
2024-04-10,61.5,62.77,59.75,61.0,48467063
2024-04-11,61.58,62.75,59.9,61.09,48530443
2024-04-12,61.62,62.7,60.05,61.17,48523194
2024-04-15,61.64,62.6,60.2,61.25,48446078
2024-04-16,61.64,62.48,60.36,61.32,48300657
2024-04-17,61.61,62.48,60.52,61.4,48089268
2024-04-18,61.58,62.56,60.67,61.48,47814992
2024-04-19,61.54,62.65,60.65,61.56,47481615
2024-04-22,61.5,62.84,60.53,61.65,47093576
2024-04-23,61.47,63.03,60.42,61.74,46655912
2024-04-24,61.46,63.21,60.33,61.85,46174193
2024-04-25,61.47,63.39,60.27,61.97,45654454
2024-04-26,61.5,63.57,60.24,62.1,45103121
2024-04-29,61.57,63.74,60.26,62.25,44526926
2024-04-30,61.67,63.91,60.32,62.41,43932833
2024-05-01,61.81,64.07,60.43,62.59,43327945
2024-05-02,61.99,64.24,60.6,62.78,42719422
2024-05-03,62.21,64.4,60.81,63.0,42114393
2024-05-06,62.48,64.57,61.08,63.23,41519871
2024-05-07,62.78,64.73,61.4,63.48,40942670
2024-05-08,63.12,64.9,61.77,63.74,40389322
2024-05-09,63.48,65.08,62.18,64.02,39866000
2024-05-10,63.88,65.26,62.62,64.32,39378448
2024-05-13,64.29,65.46,63.1,64.63,38931913
2024-05-14,64.72,65.84,63.6,64.95,38531084
2024-05-15,65.16,66.28,64.11,65.28,38180039
2024-05-16,65.59,66.73,64.63,65.62,37882203
2024-05-17,66.03,67.24,65.08,65.96,37640307
2024-05-20,66.45,67.75,65.51,66.31,37456362
2024-05-21,66.86,68.23,65.77,66.66,37331639
2024-05-22,67.24,68.67,66.03,67.0,37266661
2024-05-23,67.6,69.08,66.29,67.35,37261200
2024-05-24,67.94,69.43,66.56,67.68,37314287
2024-05-27,68.24,69.74,66.82,68.01,37424234
2024-05-28,68.52,70.0,67.08,68.33,37588651
